"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C6T53HZY","journalArticle","1971","Erez, Amnon; Lavee, S.","The Effect of Climatic Conditions on Dormancy Development of Peach Buds. I. Temperature1","J. Amer. Soc. Hort. Sci.","","","10.21273/JASHS.96.6.711","","With controlled temperatures low temperature efficiency in releasing peach buds from dormancy follows an optimum curve in which 6°C is the optimum for average lateral leaf buds and 10°C is about half as efficient. “Weighted chilling hours” instead of “chilling hours” was proposed as a chilling measurement criterion. A high temp of 21°C, when alternated daily with low temp, nullified the low temp effect; a high of 18°C had no effect. Interrupting the chilling by 2 separate periods of 11 and 12 days at 20°C did not show any nullifying effect, but greatly enhanced lateral leaf bud break.","1971-11-01","2024-07-22 18:40:03","2024-07-22 18:40:03","","711-714","","","96","","J. Amer. Soc. Hort. Sci.","","","","","","","","","","","","","ResearchGate","","","","","https://www.researchgate.net/publication/284422943_The_effect_of_climatic_conditions_on_dormancy_development_of_peach_buds_I_Temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YLUBIDJ8","journalArticle","2018","Hufkens, Koen; Basler, David; Milliman, Tom; Melaas, Eli K.; Richardson, Andrew D.","An integrated phenology modelling framework in r","Methods in Ecology and Evolution","","2041-210X","10.1111/2041-210X.12970","https://onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12970","Phenology is a first-order control on productivity and mediates the biophysical environment by altering albedo, surface roughness length and evapotranspiration. Accurate and transparent modelling of vegetation phenology is therefore key in understanding feedbacks between the biosphere and the climate system. Here, we present the phenor r package and modelling framework. The framework leverages measurements of vegetation phenology from four common phenology observation datasets, the PhenoCam network, the USA National Phenology Network (USA-NPN), the Pan European Phenology Project (PEP725), MODIS phenology (MCD12Q2) combined with (global) retrospective and projected climate data. We show an example analysis, using the phenor modelling framework, which quickly and easily compares 20 included spring phenology models for three plant functional types. An analysis of model skill using the root mean squared (RMSE) error shows little or no difference regardless of model structure, corroborating previous studies. We argue that addressing this issue will require novel model development combined with easy data assimilation as facilitated by our framework. In conclusion, we hope the phenor phenology modelling framework in the r language and environment for statistical computing will facilitate reproducibility and community driven phenology model development, in order to increase their overall predictive power, and leverage an ever growing number of phenology data products.","2018","2024-07-22 18:40:26","2024-07-22 18:40:26","2024-07-22 18:40:26","1276-1285","","5","9","","","","","","","","","","en","© 2018 The Authors. Methods in Ecology and Evolution © 2018 British Ecological Society","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.12970","","C:\Users\sapph\Zotero\storage\7DZL8MIC\Hufkens et al. - 2018 - An integrated phenology modelling framework in r.pdf; C:\Users\sapph\Zotero\storage\DPPZ75TR\2041-210X.html","","","modelling; MODIS land surface phenology; PEP725; PhenoCam; phenology; r package; USA-NPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EA3X5VFQ","journalArticle","2021","Gao, Xuekai; Yuan, Yanchao; Liu, Ziqi; Liu, Chunying; Xin, Hua; Zhang, Yuxi; Gai, Shupeng","Chilling and gibberellin acids hyperinduce β-1,3-glucanases to reopen transport corridor and break endodormancy in tree peony (<i>Paeonia suffruticosa</i>)","Plant Physiology and Biochemistry","","0981-9428","10.1016/j.plaphy.2021.09.002","https://www.sciencedirect.com/science/article/pii/S0981942821004666","Bud endodormancy is accompanied by transport channel apertures blockage through callose deposition, and its resume to growth requires evoking β-1,3-glucanases (BGs) to unchoke the conduit. To understand out its working manner, the statuses of the transport channels were evaluated and candidate BGs were identified during chilling and gibberellin acids (GA) induced dormancy release in tree peony. Calcein reflects plasmodesmata permeability, and no calcein was observed in the bud together with density aniline blue fluorescent around the stem phloem at 0 d chilling. With the increase of chilling accumulation, the contents of glucan declined and the activities of gulcanase increased gradually in buds, and the calcein reached the top of flower primordia at 21 d chilled bud. Both GA3 and GA4 feedings promoted bud sprouting and growth along with rapidly unchoking the transport channels, and GA3 was more effective. Several candidate β-1,3-glucanase genes were detected, combining transcriptional profiling and quantitative PCR analysis. PsBG1, PsBG3, PsBG6, PsBG8 and PsBG9 were inducible by chilling accumulation and presented laminarin hydrolyzing activities after prokaryotically expression, while PsBG1, PsBG3, PsBG8 and PsBG9 responded to GAs application. Subcellular localizations revealed that PsBG6 and PsBG9 were plasmodesmata residents. It was concluded that PsBG6 played a vital role in chilling accumulation response and PsBG9 was central in GAs-induced dormancy release, and they could be used as marker genes for dormancy release in tree peony. These results were of great value to understand the mechanism of dormancy regulation and as an important fundamental for forcing culture technology in tree peony.","2021-10-01","2024-07-22 18:40:51","2024-07-22 18:40:51","2024-07-22 18:40:51","771-784","","","167","","Plant Physiology and Biochemistry","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\sapph\Zotero\storage\QBD5ILCA\S0981942821004666.html","","","Chilling; Dormancy; Gibberellin acids; Transport channel; β-1,3-Glucanases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9Y3ME5M","journalArticle","2013","Song, Young Hun; Ito, Shogo; Imaizumi, Takato","Flowering time regulation: photoperiod- and temperature-sensing in leaves","Trends in Plant Science","","1360-1385","10.1016/j.tplants.2013.05.003","https://www.sciencedirect.com/science/article/pii/S1360138513001040","Plants monitor changes in photoperiod and temperature to synchronize their flowering with seasonal changes to maximize fitness. In the Arabidopsis photoperiodic flowering pathway, the circadian clock-regulated components, such as FLAVIN-BINDING, KELCH REPEAT, F-BOX 1 and CONSTANS, both of which have light-controlled functions, are crucial to induce the day-length specific expression of the FLOWERING LOCUS T (FT) gene in leaves. Recent advances indicate that FT transcriptional regulation is central for integrating the information derived from other important internal and external factors, such as developmental age, amount of gibberellic acid, and the ambient temperature. In this review, we describe how these factors interactively regulate the expression of FT, the main component of florigen, in leaves.","2013-10-01","2024-07-22 18:41:20","2024-07-22 18:41:20","2024-07-22 18:41:20","575-583","","10","18","","Trends in Plant Science","Flowering time regulation","","","","","","","","","","","","ScienceDirect","","","","C:\Users\sapph\Zotero\storage\A72BV2GS\Song et al. - 2013 - Flowering time regulation photoperiod- and temper.pdf; C:\Users\sapph\Zotero\storage\6JZ3YLF5\S1360138513001040.html","","","photoperiod; ambient temperature; florigen; flowering; FLOWERING LOCUS T; gibberellic acid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RC9JE4YZ","journalArticle","1953","Wareing, P. F.","Growth Studies in Woody Species V. Photoperiodism in Dormant Buds of Fagus sylvatica L.","Physiologia Plantarum","","1399-3054","10.1111/j.1399-3054.1953.tb08442.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1953.tb08442.x","","1953","2024-07-22 18:41:39","2024-07-22 18:41:39","2024-07-22 18:41:39","692-706","","4","6","","","","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.1953.tb08442.x","","C:\Users\sapph\Zotero\storage\7S2Z77LN\Wareing - 1953 - Growth Studies in Woody Species V. Photoperiodism .pdf; C:\Users\sapph\Zotero\storage\JFCAUMXN\j.1399-3054.1953.tb08442.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5JQ9PR8","journalArticle","2018","Singh, Rajesh Kumar; Maurya, Jay P.; Azeez, Abdul; Miskolczi, Pal; Tylewicz, Szymon; Stojkovič, Katja; Delhomme, Nicolas; Busov, Victor; Bhalerao, Rishikesh P.","A genetic network mediating the control of bud break in hybrid aspen","Nature Communications","","2041-1723","10.1038/s41467-018-06696-y","https://www.nature.com/articles/s41467-018-06696-y","In boreal and temperate ecosystems, temperature signal regulates the reactivation of growth (bud break) in perennials in the spring. Molecular basis of temperature-mediated control of bud break is poorly understood. Here we identify a genetic network mediating the control of bud break in hybrid aspen. The key components of this network are transcription factor SHORT VEGETATIVE PHASE-LIKE (SVL), closely related to Arabidopsis floral repressor SHORT VEGETATIVE PHASE, and its downstream target TCP18, a tree homolog of a branching regulator in Arabidopsis. SVL and TCP18 are downregulated by low temperature. Genetic evidence demonstrates their role as negative regulators of bud break. SVL mediates bud break by antagonistically acting on gibberellic acid (GA) and abscisic acid (ABA) pathways, which function as positive and negative regulators of bud break, respectively. Thus, our results reveal the mechanistic basis for temperature-cued seasonal control of a key phenological event in perennial plants.","2018-10-09","2024-07-22 18:42:56","2024-07-22 18:42:56","2024-07-22 18:42:56","4173","","1","9","","Nat Commun","","","","","","","","en","2018 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\sapph\Zotero\storage\XM7DJRP5\Singh et al. - 2018 - A genetic network mediating the control of bud bre.pdf","","","Plant molecular biology; Plant physiology; Plant signalling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CCGJW9DP","journalArticle","2022","Godwin, James; Farrona, Sara","The Importance of Networking: Plant Polycomb Repressive Complex 2 and Its Interactors","Epigenomes","","2075-4655","10.3390/epigenomes6010008","https://www.mdpi.com/2075-4655/6/1/8","Polycomb Repressive Complex 2 (PRC2) is arguably the best-known plant complex of the Polycomb Group (PcG) pathway, formed by a group of proteins that epigenetically represses gene expression. PRC2-mediated deposition of H3K27me3 has amply been studied in Arabidopsis and, more recently, data from other plant model species has also been published, allowing for an increasing knowledge of PRC2 activities and target genes. How PRC2 molecular functions are regulated and how PRC2 is recruited to discrete chromatin regions are questions that have brought more attention in recent years. A mechanism to modulate PRC2-mediated activity is through its interaction with other protein partners or accessory proteins. Current evidence for PRC2 interactors has demonstrated the complexity of its protein network and how far we are from fully understanding the impact of these interactions on the activities of PRC2 core subunits and on the formation of new PRC2 versions. This review presents a list of PRC2 interactors, emphasizing their mechanistic action upon PRC2 functions and their effects on transcriptional regulation.","2022-03","2024-07-22 18:45:04","2024-07-22 18:45:04","2024-07-22 18:45:04","8","","1","6","","","The Importance of Networking","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","Number: 1 Publisher: Multidisciplinary Digital Publishing Institute","","C:\Users\sapph\Zotero\storage\UC5H59FQ\Godwin and Farrona - 2022 - The Importance of Networking Plant Polycomb Repre.pdf","","","Arabidopsis; chromatin; development; H3K27me3; PRC2; protein interactors; transcription","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMVNCRLR","journalArticle","2011","Rinne, Päivi L.H.; Welling, Annikki; Vahala, Jorma; Ripel, Linda; Ruonala, Raili; Kangasjärvi, Jaakko; van der Schoot, Christiaan","Chilling of Dormant Buds Hyperinduces FLOWERING LOCUS T and Recruits GA-Inducible 1,3-β-Glucanases to Reopen Signal Conduits and Release Dormancy in Populus","The Plant Cell","","1040-4651","10.1105/tpc.110.081307","https://doi.org/10.1105/tpc.110.081307","In trees, production of intercellular signals and accessibility of signal conduits jointly govern dormancy cycling at the shoot apex. We identified 10 putative cell wall 1,3-β-glucanase genes (glucan hydrolase family 17 [GH17]) in Populus that could turn over 1,3-β-glucan (callose) at pores and plasmodesmata (PD) and investigated their regulation in relation to FT and CENL1 expression. The 10 genes encode orthologs of Arabidopsis thaliana BG_ppap, a PD-associated glycosylphosphatidylinositol (GPI) lipid-anchored protein, the Arabidopsis PD callose binding protein PDCB, and a birch (Betula pendula) putative lipid body (LB) protein. We found that these genes were differentially regulated by photoperiod, by chilling (5°C), and by feeding of gibberellins GA3 and GA4. GA3 feeding upregulated all LB-associated GH17s, whereas GA4 upregulated most GH17s with a GPI anchor and/or callose binding motif, but only GA4 induced true bud burst. Chilling upregulated a number of GA biosynthesis and signaling genes as well as FT, but not CENL1, while the reverse was true for both GA3 and GA4. Collectively, the results suggest a model for dormancy release in which chilling induces FT and both GPI lipid-anchored and GA3-inducible GH17s to reopen signaling conduits in the embryonic shoot. When temperatures rise, the reopened conduits enable movement of FT and CENL1 to their targets, where they drive bud burst, shoot elongation, and morphogenesis.","2011-01-01","2024-07-22 18:45:24","2024-07-22 18:45:24","2024-07-22 18:45:23","130-146","","1","23","","The Plant Cell","","","","","","","","","","","","","Silverchair","","","","C:\Users\sapph\Zotero\storage\GGB6APL3\Rinne et al. - 2011 - Chilling of Dormant Buds Hyperinduces FLOWERING LO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE2MXWE3","journalArticle","2008","Kim, Sang Yeol; Yu, Xuhong; Michaels, Scott D.","Regulation of CONSTANS and FLOWERING LOCUS T Expression in Response to Changing Light Quality","Plant Physiology","","0032-0889","10.1104/pp.108.122606","https://doi.org/10.1104/pp.108.122606","In addition to pathways that regulate flowering in response to environmental signals such as photoperiod or cold temperatures (vernalization), flowering time is also regulated by light quality. In many species, far-red (FR) light is known to accelerate flowering. This is environmentally significant because leaves absorb more red light than FR light; thus, plants growing under a canopy experience light that is enriched in FR light. In this article, we have explored the promotion of flowering by FR-enriched light (FREL) in Arabidopsis (Arabidopsis thaliana). Previous work has shown that the floral promoter CONSTANS (CO) plays a critical role in day-length perception and exhibits complex regulation; CO mRNA is regulated by the circadian clock and CO protein is stabilized by light and degraded in darkness. We find that plants grown under FREL contain higher levels of CO mRNA in the early part of the day than plants under white light. Furthermore, transgenic plants expressing CO under the control of a constitutive promoter accumulate higher levels of CO protein under FREL, indicating that FREL can increase CO protein levels independently of transcription. Consistent with the model that FREL promotes flowering through CO, mutants for co or gigantea, which are required for CO transcript accumulation, are relatively insensitive to FREL. Because the red:FR ratios used in these experiments are in the range of what plants would experience under a canopy, these results indicate that the regulation of CO by light quality likely plays a key role in the regulation of flowering time in natural environments.","2008-09-01","2024-07-22 18:45:43","2024-07-22 18:45:43","2024-07-22 18:45:43","269-279","","1","148","","Plant Physiology","","","","","","","","","","","","","Silverchair","","","","C:\Users\sapph\Zotero\storage\PC6K55XC\Kim et al. - 2008 - Regulation of CONSTANS and FLOWERING LOCUS T Expre.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NN3FGC35","journalArticle","2021","Azeez, Abdul; Zhao, Yiru Chen; Singh, Rajesh Kumar; Yordanov, Yordan S.; Dash, Madhumita; Miskolczi, Pal; Stojkovič, Katja; Strauss, Steve H.; Bhalerao, Rishikesh P.; Busov, Victor B.","EARLY BUD-BREAK 1 and EARLY BUD-BREAK 3 control resumption of poplar growth after winter dormancy","Nature Communications","","2041-1723","10.1038/s41467-021-21449-0","https://www.nature.com/articles/s41467-021-21449-0","Bud-break is an economically and environmentally important process in trees and shrubs from boreal and temperate latitudes, but its molecular mechanisms are poorly understood. Here, we show that two previously reported transcription factors, EARLY BUD BREAK 1 (EBB1) and SHORT VEGETATIVE PHASE-Like (SVL) directly interact to control bud-break. EBB1 is a positive regulator of bud-break, whereas SVL is a negative regulator of bud-break. EBB1 directly and negatively regulates SVL expression. We further report the identification and characterization of the EBB3 gene. EBB3 is a temperature-responsive, epigenetically-regulated, positive regulator of bud-break that provides a direct link to activation of the cell cycle during bud-break. EBB3 is an AP2/ERF transcription factor that positively and directly regulates CYCLIND3.1 gene. Our results reveal the architecture of a putative regulatory module that links temperature-mediated control of bud-break with activation of cell cycle.","2021-02-18","2024-07-22 18:45:49","2024-07-22 18:45:49","2024-07-22 18:45:49","1123","","1","12","","Nat Commun","","","","","","","","en","2021 The Author(s)","","","","www.nature.com","","Publisher: Nature Publishing Group","","C:\Users\sapph\Zotero\storage\PKZF4UCY\Azeez et al. - 2021 - EARLY BUD-BREAK 1 and EARLY BUD-BREAK 3 control re.pdf","","","Plant molecular biology; Plant signalling; Agricultural genetics; Plant development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WZMHVJU","journalArticle","2022","Gómez-Soto, Daniela; Allona, Isabel; Perales, Mariano","FLOWERING LOCUS T2 Promotes Shoot Apex Development and Restricts Internode Elongation via the 13-Hydroxylation Gibberellin Biosynthesis Pathway in Poplar","Frontiers in Plant Science","","1664-462X","10.3389/fpls.2021.814195","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2021.814195/full","<p>The adaptation and survival of boreal and temperate perennials relies on the precise demarcation of the growing season. Seasonal growth and development are defined by day length and temperature signals. Under long-day conditions in spring, poplar FLOWERING LOCUS T2 (FT2) systemically induces shoot growth. In contrast, FT2 downregulation induced by autumnal short days triggers growth cessation and bud set. However, the molecular role of FT2 in local and long-range signaling is not entirely understood. In this study, the CRISPR/Cas9 editing tool was used to generate FT2 loss of function lines of hybrid poplar. Results indicate that FT2 is essential to promote shoot apex development and restrict internode elongation under conditions of long days. The application of bioactive gibberellins (GAs) to apical buds in FT2 loss of function lines was able to rescue bud set. Expression analysis of GA sensing and metabolic genes and hormone quantification revealed that FT2 boosts the 13-hydroxylation branch of the GA biosynthesis pathway in the shoot apex. Paclobutrazol treatment of WT leaves led to limited internode growth in the stem elongation zone. In mature leaves, FT2 was found to control the GA 13-hydroxylation pathway by increasing <italic>GA2ox1</italic> and reducing <italic>GA3ox2</italic> expression, causing reduced GA1 levels. We here show that in poplar, the FT2 signal promotes shoot apex development and restricts internode elongation through the GA 13-hydroxylation pathway.</p>","2022-02-03","2024-07-22 18:45:56","2024-07-22 18:45:56","2024-07-22 18:45:56","","","","12","","Front. Plant Sci.","","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","C:\Users\sapph\Zotero\storage\HMSANWSA\Gómez-Soto et al. - 2022 - FLOWERING LOCUS T2 Promotes Shoot Apex Development.pdf","","","poplar; dormancy-growth cycles; FT2; GA 13-hydroxilation pathway; GA1; gibberellin; Internode elongation; Shoot apex development","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHY28YHB","journalArticle","2022","André, Domenique; Zambrano, José Alfredo; Zhang, Bo; Lee, Keh Chien; Rühl, Mark; Marcon, Alice; Nilsson, Ove","Populus SVL Acts in Leaves to Modulate the Timing of Growth Cessation and Bud Set","Frontiers in Plant Science","","1664-462X","10.3389/fpls.2022.823019","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2022.823019/full","<p><italic>SHORT VEGETATIVE PHASE (SVP)</italic> is an important regulator of <italic>FLOWERING LOCUS T (FT)</italic> in the thermosensory pathway of Arabidopsis. It is a negative regulator of flowering and represses <italic>FT</italic> transcription. In poplar trees, <italic>FT2</italic> is central for the photoperiodic control of growth cessation, which also requires the decrease of bioactive gibberellins (GAs). In angiosperm trees, genes similar to <italic>SVP</italic>, sometimes named <italic>DORMANCY-ASSOCIATED MADS-BOX</italic> genes, control temperature-mediated bud dormancy. Here we show that <italic>SVL</italic>, an <italic>SVP</italic> ortholog in aspen trees, besides its role in controlling dormancy through its expression in buds, is also contributing to the regulation of short day induced growth cessation and bud set through its expression in leaves. <italic>SVL</italic> is upregulated during short days in leaves and binds to the <italic>FT2</italic> promoter to repress its transcription. It furthermore decreases the amount of active GAs, whose downregulation is essential for growth cessation, by repressing the transcription of <italic>GA20 oxidase</italic>. Finally, the SVL protein is more stable in colder temperatures, thus integrating the temperature signal into the response. We conclude that the molecular function of <italic>SVL</italic> in the photoperiodic pathway has been conserved between Arabidopsis and poplar trees, albeit the physiological process it controls has changed. SVL is thus both involved in regulating the photoperiod response in leaves, modulating the timing of growth cessation and bud set, and in the subsequent temperature regulation of dormancy in the buds.</p>","2022-02-17","2024-07-22 18:45:59","2024-07-22 18:45:59","2024-07-22 18:45:59","","","","13","","Front. Plant Sci.","","","","","","","","English","","","","","Frontiers","","Publisher: Frontiers","","C:\Users\sapph\Zotero\storage\H9CESTJH\André et al. - 2022 - Populus SVL Acts in Leaves to Modulate the Timing .pdf","","","dormancy; poplar; SHORT VEGETATIVE PHASE; Flowering locus T; Phenology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6NY5JYZ","journalArticle","2007","Ruttink, Tom; Arend, Matthias; Morreel, Kris; Storme, Véronique; Rombauts, Stephane; Fromm, Jörg; Bhalerao, Rishikesh P.; Boerjan, Wout; Rohde, Antje","A Molecular Timetable for Apical Bud Formation and Dormancy Induction in Poplar","The Plant Cell","","1040-4651","10.1105/tpc.107.052811","https://doi.org/10.1105/tpc.107.052811","The growth of perennial plants in the temperate zone alternates with periods of dormancy that are typically initiated during bud development in autumn. In a systems biology approach to unravel the underlying molecular program of apical bud development in poplar (Populus tremula × Populus alba), combined transcript and metabolite profiling were applied to a high-resolution time course from short-day induction to complete dormancy. Metabolite and gene expression dynamics were used to reconstruct the temporal sequence of events during bud development. Importantly, bud development could be dissected into bud formation, acclimation to dehydration and cold, and dormancy. To each of these processes, specific sets of regulatory and marker genes and metabolites are associated and provide a reference frame for future functional studies. Light, ethylene, and abscisic acid signal transduction pathways consecutively control bud development by setting, modifying, or terminating these processes. Ethylene signal transduction is positioned temporally between light and abscisic acid signals and is putatively activated by transiently low hexose pools. The timing and place of cell proliferation arrest (related to dormancy) and of the accumulation of storage compounds (related to acclimation processes) were established within the bud by electron microscopy. Finally, the identification of a large set of genes commonly expressed during the growth-to-dormancy transitions in poplar apical buds, cambium, or Arabidopsis thaliana seeds suggests parallels in the underlying molecular mechanisms in different plant organs.","2007-08-01","2024-07-22 18:46:57","2024-07-22 18:46:57","2024-07-22 18:46:57","2370-2390","","8","19","","The Plant Cell","","","","","","","","","","","","","Silverchair","","","","C:\Users\sapph\Zotero\storage\5GKF4NEZ\Ruttink et al. - 2007 - A Molecular Timetable for Apical Bud Formation and.pdf; C:\Users\sapph\Zotero\storage\AQ3X59YL\6088927.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRP59LC3","journalArticle","1955","Overcash, J. P.; Campbell, J. A.","The Effects of Intermitten Warm and Cold Periods on Breaking the Rest Period of Peach Leaf Buds","Proceedings of the American Society for Horticultural Science","","","","","","1955","2024-07-22 18:57:09","2024-07-22 18:59:11","","87-92","","","66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EHMJMAY","journalArticle","1994","Kramer, Koen","Selecting a Model to Predict the Onset of Growth of Fagus sylvatica","Journal of Applied Ecology","","0021-8901","10.2307/2404609","https://www.jstor.org/stable/2404609","1. To evaluate the impacts of climate change on the primary production of temperate deciduous tree species, the onset and cessation of the growth must be accurately described. The aim of this study is to find a model which predicts the onset of growth of Fagus sylvatica (European beech) accurately. 2. Several models have been proposed for the prediction of the timing of budburst of woody plants. Most of these models have been evaluated for species other than Fagus sylvatica, and in some cases for flower buds. Six models were fitted to data on leaf unfolding of Fagus sylvatica, collected in the Netherlands over 57 years (1901-68). 3. All models require only temperature as input. For Fagus sylvatica, however, photoperiod may influence the timing of the onset of growth. Therefore, photosensitivity was incorporated in these models. This reduced the predictive power compared to models that do not incorporate photosensitivity. 4. The model proposed by Sarvas (1974), in which the development of rest and quiescence is strictly separated in time, resulted in the best predictions of the average date of leaf unfolding in Fagus sylvatica.","1994","2024-08-20 01:10:52","2024-08-20 01:10:54","2024-08-20 01:10:52","172-181","","1","31","","","","","","","","","","","","","","","JSTOR","","Publisher: [British Ecological Society, Wiley]","","C:\Users\sapph\Zotero\storage\LWEUM472\Kramer - 1994 - Selecting a Model to Predict the Onset of Growth o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVBIVNZY","journalArticle","1990","Hänninen, Heikki","Modelling bud dormancy release in trees from cool and temperate regions","Acta Forestalia Fennica","","","","https://www.silvafennica.fi/article/7660","","1990-01-01","2024-08-20 01:12:17","2024-08-20 01:12:17","2024-08-20 01:12:17","","","213","0","","","","","","","","","","en","","","","","www.silvafennica.fi","","","","C:\Users\sapph\Zotero\storage\BTDSTKLP\Hänninen - 1990 - Modelling bud dormancy release in trees from cool .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DC3VQ8NE","journalArticle","1983","Cannell, M. G. R.; Smith, R. I.","Thermal Time, Chill Days and Prediction of Budburst in Picea sitchensis","Journal of Applied Ecology","","0021-8901","10.2307/2403139","https://www.jstor.org/stable/2403139","(1) The dates of budhurst of lateral shoots on 2- to 10-year old trees of Picea sitchensis were recorded on fourteen occasions at sites near meteorological stations in lowland and upland Britain between 1960 and 1980. (2) The following relationship accounted for 92% of the variation in thermal time from 1 February to the date of budburst among the fourteen observations: thermal time = 67.4 + 4401.8 exp (-0.042 x chill days) where thermal time was day degrees >5 <sup>⚬</sup>C accumulated from 1 February, and chill days were the number of days ⩽5 <sup>⚬</sup>C counted from 1 November, both based on mean daily air temperature ((max. + min.)/2). This model may be used to estimate the date of budburst on young P. sitchensis of most provenances growing in upland Britain. (3) The following features or assumptions of the model were examined with reference to the literature and/or by experimentation: the small effect of provenance; linearity in the relationship between bud growth rate and temperature; the large effect of chilling on thermal time to budhurst; the omission of daylength and soil temperature as variables; the choice of starting dates for effective chilling and thermal time; and the use of simple fixed base temperatures. (4) The model was applied to mean daily temperatures at Eskdalemuir for the period 1912-82. The predicted dates of budburst ranged from 23 April in 1961 to 30 May in 1923, with a mean date of 12 May.","1983","2024-08-20 01:12:23","2024-08-20 01:12:23","2024-08-20 01:12:23","951-963","","3","20","","","","","","","","","","","","","","","JSTOR","","Publisher: [British Ecological Society, Wiley]","","C:\Users\sapph\Zotero\storage\G6QYAWZU\Cannell and Smith - 1983 - Thermal Time, Chill Days and Prediction of Budburs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VKP5KJZP","journalArticle","1974","LANDSBERG, J. J.","Apple Fruit Bud Development and Growth; Analysis and an Empirical Model","Annals of Botany","","0305-7364","10.1093/oxfordjournals.aob.a084891","https://doi.org/10.1093/oxfordjournals.aob.a084891","Analysis of the information available on apple bud development and growth after dormancy leads to an empirical model of growth to full bloom. The analysis and model are set in the framework of the physiological mechanisms considered to be responsible for dormancy and subsequent bud growth. It is necessary to introduce an arbitrary ‘growth unit’ scale to describe these processes quantitatively, which is done by the equationG = A/(I+be−k(I).P)where G and A are in growth units, the value of k is controlled by a dormancy index I and P is a temperature summation. The model fulfils the main requirements laid down for it and the values of P at full bloom, derived from controlled environment work and field observations, are very similar.","1974-11-01","2024-08-20 01:12:31","2024-08-20 01:12:31","2024-08-20 01:12:31","1013-1023","","5","38","","Annals of Botany","","","","","","","","","","","","","Silverchair","","","","C:\Users\sapph\Zotero\storage\TT4AAWKM\LANDSBERG - 1974 - Apple Fruit Bud Development and Growth; Analysis a.pdf; C:\Users\sapph\Zotero\storage\T86EAYHM\108120.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
